id,Date Created,Date Completed,Last Modified,node,slot,ssu,rack,ru_low,ru_high
183,9/28/2020 10:50 AM,10/26/2020 10:18 AM,12/18/2020 2:01 AM,160,71,78,14,31,35
184,9/28/2020 10:49 AM,10/26/2020 9:56 AM,12/18/2020 2:01 AM,54,72,25,4,6,10
186,9/28/2020 7:43 AM,10/26/2020 9:39 AM,12/18/2020 2:01 AM,159,36,77,14,26,30
187,9/28/2020 7:41 AM,10/23/2020 4:37 PM,12/18/2020 2:01 AM,169,11,82,15,11,15
188,9/28/2020 7:40 AM,10/23/2020 4:39 PM,12/18/2020 2:01 AM,47,67,21,3,26,30
189,9/28/2020 7:39 AM,10/23/2020 4:12 PM,12/18/2020 2:01 AM,42,34,19,3,16,20
190,9/28/2020 7:38 AM,10/23/2020 4:35 PM,12/18/2020 2:01 AM,173,77,84,15,21,25
191,9/28/2020 7:36 AM,10/23/2020 4:33 PM,12/18/2020 2:01 AM,194,15,95,16,36,40
192,9/28/2020 7:35 AM,10/23/2020 4:00 PM,12/18/2020 2:01 AM,214,7,105,18,6,10
193,9/28/2020 7:33 AM,11/12/2020 3:59 PM,12/18/2020 2:01 AM,235,62,115,19,16,20
197,9/18/2020 10:58 AM,10/23/2020 11:44 AM,10/23/2020 11:44 AM,137,35,66,13,11,15
199,9/10/2020 9:58 AM,11/13/2020 9:55 AM,11/13/2020 9:55 AM,76,79,36,5,21,25
202,8/31/2020 6:09 AM,9/23/2020 2:05 PM,9/23/2020 2:05 PM,148,70,72,14,1,5
203,8/29/2020 8:42 PM,9/23/2020 6:03 PM,10/6/2020 2:01 AM,67,35,31,4,36,40
206,8/22/2020 6:51 PM,8/4/2021 3:02 PM,8/5/2021 1:44 PM,149,56,72,14,1,5
209,8/16/2020 6:02 PM,,10/7/2021 7:42 AM,164,74,80,15,1,5
210,8/10/2020 6:10 PM,9/24/2020 11:02 AM,11/12/2020 2:01 AM,21,30,8,2,1,5
212,7/21/2020 8:16 AM,12/9/2020 11:49 AM,12/22/2020 2:01 AM,236,35,116,19,21,25
213,7/18/2020 5:09 AM,6/2/2021 2:51 PM,6/2/2021 2:51 PM,236,35,116,19,21,25
217,6/30/2020 7:05 PM,10/23/2020 1:09 PM,10/23/2020 1:09 PM,132,4,64,13,1,5
222,6/13/2020 10:19 PM,10/23/2020 1:18 PM,12/19/2020 2:01 AM,158,80,77,14,26,30
223,5/23/2020 3:42 AM,10/23/2020 1:16 PM,11/3/2020 2:21 PM,120,55,58,8,11,15
229,5/14/2020 6:52 AM,10/23/2020 1:17 PM,11/3/2020 2:20 PM,189,41,92,16,21,25
230,5/11/2020 8:17 AM,11/6/2020 10:08 AM,11/18/2020 2:01 AM,196,63,96,17,1,5
231,5/6/2020 3:09 PM,5/8/2020 9:10 AM,5/8/2020 9:10 AM,-1,-1,-1,-1,-1,-1
233,5/4/2020 3:05 PM,,5/4/2020 3:57 PM,-1,-1,-1,-1,-1,-1
234,5/4/2020 3:02 PM,,5/4/2020 3:55 PM,-1,-1,-1,-1,-1,-1
237,4/29/2020 5:36 PM,11/6/2020 9:58 AM,11/6/2020 9:58 AM,243,35,119,19,36,40
239,4/22/2020 9:33 PM,11/6/2020 9:48 AM,11/6/2020 9:48 AM,189,37,92,16,21,25
244,4/8/2020 7:58 AM,8/6/2020 10:55 AM,8/14/2020 2:01 AM,208,77,102,17,31,35
245,4/2/2020 3:34 PM,5/13/2020 11:45 AM,5/21/2020 2:02 AM,-1,-1,-1,-1,-1,-1
246,4/1/2020 10:03 PM,10/23/2020 1:15 PM,10/23/2020 1:15 PM,161,33,78,14,31,35
247,4/1/2020 1:51 PM,10/23/2020 1:13 PM,1/30/2021 2:01 AM,164,19,80,15,1,5
249,3/30/2020 1:23 AM,10/23/2020 1:12 PM,11/3/2020 3:16 PM,76,41,36,5,21,25
251,3/19/2020 11:32 AM,4/20/2020 10:53 AM,4/20/2020 10:53 AM,-1,-1,-1,-1,-1,-1
252,3/15/2020 3:57 PM,4/20/2020 10:49 AM,4/30/2020 2:02 AM,136,45,66,13,11,15
256,3/5/2020 8:00 AM,3/17/2020 1:57 PM,3/17/2020 1:57 PM,-1,-1,-1,-1,-1,-1
257,3/5/2020 5:16 AM,4/20/2020 11:52 AM,4/30/2020 2:02 AM,8,68,2,1,11,15
259,2/24/2020 2:20 PM,4/20/2020 11:50 AM,4/20/2020 11:50 AM,244,24,120,20,1,5
260,2/24/2020 2:16 PM,,9/27/2021 11:05 AM,78,4,37,5,26,30
261,2/24/2020 2:11 PM,3/25/2020 6:27 AM,3/31/2020 8:20 AM,78,4,37,5,26,30
262,2/24/2020 2:07 PM,,1/27/2022 4:00 PM,79,4,37,5,26,30
263,2/24/2020 2:02 PM,4/16/2020 9:10 AM,4/16/2020 9:10 AM,25,28,10,2,11,15
272,1/30/2020 6:40 AM,2/13/2020 8:13 AM,3/30/2020 3:04 PM,-1,-1,-1,-1,-1,-1
273,1/29/2020 3:31 PM,4/16/2020 9:15 AM,4/16/2020 9:15 AM,24,9,10,2,11,15
274,1/29/2020 3:17 PM,,1/27/2022 9:20 AM,24,28,10,2,11,15
277,1/27/2020 12:27 PM,2/28/2020 8:36 AM,2/28/2020 8:36 AM,42,5,19,3,16,20
278,1/25/2020 11:21 PM,4/20/2020 10:48 AM,4/30/2020 2:02 AM,43,8,19,3,16,20
280,1/22/2020 3:00 PM,1/23/2020 7:31 AM,1/23/2020 7:31 AM,-1,-1,-1,-1,-1,-1
289,1/18/2020 11:06 PM,4/20/2020 10:44 AM,4/30/2020 2:02 AM,191,35,93,16,26,30
291,1/18/2020 5:30 AM,,9/24/2021 9:59 AM,-1,-1,-1,-1,-1,-1
295,1/12/2020 3:39 PM,1/23/2020 12:10 PM,1/31/2020 2:02 AM,50,43,23,3,36,40
302,12/3/2019 8:27 PM,1/8/2020 12:45 PM,2/13/2020 2:05 AM,251,35,123,20,16,20
304,12/1/2019 3:26 PM,1/8/2020 12:29 PM,2/13/2020 2:05 AM,79,33,37,5,26,30
305,11/19/2019 12:38 PM,11/20/2020 11:09 AM,11/20/2020 11:09 AM,-1,-1,-1,-1,-1,-1
307,11/18/2019 2:23 AM,1/8/2020 12:11 PM,2/13/2020 2:07 AM,135,4,65,13,6,10
311,11/3/2019 12:09 PM,1/8/2020 9:39 AM,1/16/2020 2:02 AM,111,59,53,7,26,30
312,11/3/2019 2:48 AM,10/23/2020 1:11 PM,10/23/2020 1:11 PM,237,42,116,19,21,25
313,10/31/2019 6:11 PM,1/3/2020 3:22 PM,1/16/2020 2:02 AM,237,42,116,19,21,25
314,10/31/2019 8:12 AM,11/3/2020 12:45 PM,11/3/2020 12:45 PM,148,54,72,14,1,5
315,10/30/2019 4:46 PM,11/3/2020 12:41 PM,11/3/2020 12:41 PM,-1,-1,-1,-1,-1,-1
316,10/30/2019 11:31 AM,4/20/2020 10:19 AM,4/20/2020 10:19 AM,148,54,72,14,1,5
319,10/24/2019 8:50 AM,2/9/2021 11:33 AM,2/9/2021 11:33 AM,-1,-1,-1,-1,-1,-1
323,10/18/2019 7:16 AM,10/23/2020 1:10 PM,11/3/2020 3:02 PM,251,54,123,20,16,20
328,10/17/2019 3:22 PM,1/3/2020 3:02 PM,1/16/2020 2:02 AM,251,54,123,20,16,20
330,10/15/2019 10:36 AM,4/16/2020 9:53 AM,4/16/2020 9:53 AM,-1,-1,-1,-1,-1,-1
331,10/13/2019 9:19 PM,1/3/2020 2:32 PM,8/21/2020 2:02 AM,62,64,29,4,26,30
332,10/12/2019 4:11 AM,4/16/2020 9:04 AM,4/28/2020 2:02 AM,-1,-1,-1,-1,-1,-1
337,10/10/2019 11:53 AM,4/20/2020 10:21 AM,8/13/2020 2:01 AM,118,24,57,8,6,10
338,10/9/2019 10:27 PM,1/3/2020 1:43 PM,8/13/2020 2:01 AM,83,47,39,5,36,40
339,10/9/2019 10:15 PM,1/3/2020 1:18 PM,8/13/2020 2:01 AM,63,44,29,4,26,30
340,10/9/2019 9:38 PM,1/3/2020 12:43 PM,8/13/2020 2:01 AM,116,75,56,8,1,5
341,10/9/2019 3:16 AM,1/3/2020 12:22 PM,2/13/2020 2:04 AM,125,83,60,8,21,25
342,10/9/2019 3:13 AM,1/3/2020 11:56 AM,2/13/2020 2:04 AM,11,29,3,1,16,20
343,10/9/2019 3:11 AM,12/23/2019 11:28 AM,2/13/2020 2:05 AM,36,8,16,3,1,5
344,10/4/2019 12:16 PM,10/30/2020 1:30 PM,10/30/2020 1:30 PM,-1,-1,-1,-1,-1,-1
345,10/3/2019 8:19 AM,1/23/2020 11:05 AM,2/4/2020 2:02 AM,118,47,57,8,6,10
346,10/2/2019 3:30 PM,1/23/2020 11:02 AM,4/15/2020 2:01 AM,23,7,9,2,6,10
348,9/30/2019 9:46 AM,1/23/2020 10:59 AM,1/23/2020 10:59 AM,129,42,62,8,31,35
358,9/18/2019 9:54 AM,5/28/2020 8:50 AM,5/28/2020 8:50 AM,-1,-1,-1,-1,-1,-1
361,9/17/2019 8:39 AM,1/23/2020 10:57 AM,2/4/2020 2:02 AM,246,18,121,20,6,10
362,9/16/2019 3:20 PM,4/20/2020 9:56 AM,4/20/2020 9:56 AM,-1,-1,-1,-1,-1,-1
368,9/4/2019 3:14 PM,4/20/2020 9:48 AM,4/20/2020 9:48 AM,-1,-1,-1,-1,-1,-1
369,9/4/2019 3:06 PM,4/16/2020 8:54 AM,4/16/2020 8:54 AM,-1,-1,-1,-1,-1,-1
372,9/2/2019 11:15 PM,1/23/2020 10:55 AM,1/23/2020 10:55 AM,174,66,85,15,26,30
373,8/30/2019 2:04 PM,8/30/2019 4:16 PM,9/3/2019 10:06 AM,-1,-1,-1,-1,-1,-1
375,8/27/2019 9:36 AM,1/23/2020 10:27 AM,2/4/2020 2:02 AM,193,32,94,16,31,35
376,8/26/2019 12:37 AM,1/23/2020 10:50 AM,2/13/2020 2:05 AM,156,69,76,14,21,25
377,8/21/2019 8:13 AM,1/23/2020 10:47 AM,2/4/2020 2:02 AM,39,56,17,3,6,10
378,8/12/2019 4:49 PM,1/23/2020 10:45 AM,4/15/2020 2:01 AM,213,32,104,18,1,5
379,8/3/2019 3:51 AM,1/23/2020 10:43 AM,1/31/2020 2:02 AM,12,67,4,1,21,25
385,7/22/2019 7:29 PM,7/26/2019 11:27 AM,2/13/2020 2:04 AM,170,35,83,15,16,20
387,7/15/2019 8:02 AM,7/26/2019 11:17 AM,10/9/2019 2:05 AM,207,51,101,17,26,30
389,6/26/2019 4:34 PM,7/26/2019 11:07 AM,2/13/2020 2:04 AM,165,79,80,15,1,5
390,6/24/2019 11:53 AM,7/26/2019 11:23 AM,2/13/2020 2:04 AM,97,42,46,6,31,35
394,6/17/2019 1:34 PM,7/26/2019 11:00 AM,2/13/2020 2:04 AM,221,29,108,18,21,25
395,6/16/2019 12:59 PM,7/26/2019 10:55 AM,2/13/2020 2:02 AM,46,44,21,3,26,30
399,6/12/2019 9:35 PM,7/26/2019 10:48 AM,2/13/2020 2:02 AM,213,51,104,18,1,5
401,6/10/2019 7:18 AM,7/26/2019 10:38 AM,7/26/2019 10:38 AM,210,62,103,17,36,40
402,6/4/2019 12:49 AM,7/26/2019 10:33 AM,2/13/2020 2:02 AM,192,31,94,16,31,35
406,5/20/2019 3:37 AM,7/26/2019 10:14 AM,10/9/2019 2:05 AM,167,80,81,15,6,10
408,5/8/2019 8:33 AM,7/26/2019 10:10 AM,10/9/2019 2:04 AM,178,40,87,15,36,40
409,4/26/2019 12:54 PM,2/19/2020 2:34 PM,2/19/2020 2:37 PM,-1,-1,-1,-1,-1,-1
410,4/25/2019 2:40 AM,7/26/2019 10:03 AM,10/9/2019 2:03 AM,55,35,25,4,6,10
411,4/22/2019 7:29 AM,4/20/2020 9:29 AM,4/20/2020 9:30 AM,56,12,26,4,11,15
415,4/7/2019 7:34 PM,4/22/2019 9:16 AM,10/9/2019 2:02 AM,244,68,120,20,1,5
416,4/7/2019 12:27 AM,4/22/2019 9:17 AM,10/9/2019 2:02 AM,240,71,118,19,31,35
419,4/4/2019 5:31 AM,4/22/2019 9:18 AM,5/2/2019 2:02 AM,55,14,25,4,6,10
